link,price,description
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2006,"ETB64.00
         			  		            		            Ex Tax: ETB56.00","Ground Cinnamon, Certified Organic ﻿CinnamonORGANIC CINNAMON - Nothing but pure, organic, groun.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3277,"ETB114.00
         			  		            		            Ex Tax: ETB100.00","This Organic ground cardamom
has sweet taste & enticing aroma.From the dried, cardamom&nbs.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3980,"ETB43.00
         			  		            		            Ex Tax: ETB37.00",Organic White Black Pepper100% organicHome madeEnhances the taste of the food.weight- 25gPrepared by..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3139,"ETB36.00
         			  		            		            Ex Tax: ETB32.00","Prepared Mixed Stew Spice weight- 0.044



 Manufacturer-
HASSET&nbsp.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=1895,"ETB702.00
         			  		            		            Ex Tax: ETB702.00","Rift Valley Cuvee Prestige Chardonnay



Tasting Notes:

Colour and Bouquet:
Subtl.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2787,"ETB389.00
         			  		            		            Ex Tax: ETB339.00",Naturally healthy 100% pure honey from JinkaDelicate reliable flavor honey varietyPacked in a plasti..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3824,"ETB105.00
         			  		            		            Ex Tax: ETB91.00","Tigist_ Organic Split Peas (1kg) 
-It is 100% natural -100% Organic &
100% Pesticid.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5210,"ETB340.00
         			  		            		            Ex Tax: ETB296.00","Abea Peanut ButterNatural Peanut
butter Our Natural
PeanutButter
is made by roasting an.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5073,"ETB800.00
         			  		            		            Ex Tax: ETB800.00",Alem Roasted Ground Coffee100% OrganicRoasted and Ground Ethiopia CoffeeItem weight: 1000gManufactur..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4375,"ETB57.00
         			  		            		            Ex Tax: ETB50.00",Ameleworke_ malt powder ( የብቅል ዱቄት)malt is used to make Ethiopian traditional alcoholic drinks ..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4374,"ETB57.00
         			  		            		            Ex Tax: ETB50.00",Ameleworke_ Tella Kita Flour (የጠላ ቂጣ ዱቄት)Tella kita flour is used to make Ethiopian tradit..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4920,"ETB248.00
         			  		            		            Ex Tax: ETB216.00","Amelework_
Tella Defdf(ጠላ ድፍድፍ)
 Tella Defdf is used
     to make Ethiopian traditional alcoholic.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=1833,"ETB142.00
         			  		            		            Ex Tax: ETB124.00",Arki_ Mineral Water“arki” mineral water is a unique product brought to you by SBG Industr..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4282,"ETB278.00
         			  		            		            Ex Tax: ETB242.00",Arki_ Natural Flavor homemade Chili pepperHome MadeNatural Flavor Homemade Chili pepper(mitmita)This..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5509,"ETB30.00
         			  		            		            Ex Tax: ETB30.00",Bereka_ Iodized Salt (1g)No artificial flavors and colorsSealed packaging increases sanitationSalt p..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5510,"ETB15.00
         			  		            		            Ex Tax: ETB15.00","Bereka_ Iodized Salt (500gm)

No artificial flavors and colors

Sealed packaging increases sanit.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5434,"ETB99.00
         			  		            		            Ex Tax: ETB86.00","Beza Ethiopian Coffee 

100% Organic 

Roasted & Grinded Coffee 

it's standard with taste.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=969,"ETB21.00
         			  		            		            Ex Tax: ETB18.00","High-Quality
  Grinded Black Cumin Powder Multi-functional Use Organically Grown 100%
  Healthy Sp.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=954,"ETB43.00
         			  		            		            Ex Tax: ETB38.00","Grinded Cinnamon
  For Tea spice.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5802,"ETB37.00
         			  		            		            Ex Tax: ETB37.00",Coca Colait is soft drink supplier  haftsh cafeteria300ml..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=952,"ETB27.00
         			  		            		            Ex Tax: ETB24.00",Well-Prepared Packed Cummin (50g)..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4940,"ETB340.00
         			  		            		            Ex Tax: ETB296.00","Dates (920g)Whole, sweet, premium,
Pitted datesIdeal for baking, as a
topping, and as a snac.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5296,"ETB123.00
         			  		            		            Ex Tax: ETB107.00",East Pure Baking SodaUse in baking with many other household uses.Perfect for cleaning and deodorizi..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3201,"ETB70.00
         			  		            		            Ex Tax: ETB61.00","Its ability
to boost energy levels, prevent cold, treat uterine infections, improve
digestion, red.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3191,"ETB14.00
         			  		            		            Ex Tax: ETB12.00","A
splash of white vinegar can brighten up the flavor of some types o.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3325,"ETB68.00
         			  		            		            Ex Tax: ETB60.00","Natural flavor homemade
chili pepper (mitmita)This hot chili pepper  blend is a mixture of the.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3359,"ETB57.00
         			  		            		            Ex Tax: ETB50.00","Emeshaw pure organic rosemary 50g100% OrganicPungent, herbaceous, fresh rosemary leaves are a
great.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3364,"ETB54.00
         			  		            		            Ex Tax: ETB47.00","Emeshaw pure organic steak
tartar (kitfo) spice 50gSteak tartar herbs and spices for the tastiest
.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3279,"ETB114.00
         			  		            		            Ex Tax: ETB100.00","Make the
stew testy and enticing
aroma.Can be used on any stew.Premium quality for
superior flavo.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3481,"ETB54.00
         			  		            		            Ex Tax: ETB47.00",Used to nutmeg may cure indigestion.It is a natural painkiller.Has anti-inflammatory properties..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3275,"ETB128.00
         			  		            		            Ex Tax: ETB112.00","Pure Assorted Spice Well prepared mixed spice 100% organic spiceSpices that are used to give
a fini.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3834,"ETB142.00
         			  		            		            Ex Tax: ETB124.00",Emshaw Home made Chili pepper (Mitmita)Natural flavorIt is particularly good for beef dishesit is al..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3516,"ETB64.00
         			  		            		            Ex Tax: ETB56.00",Emshaw ayib spice powder 100% organic ayib spiceFresh Ethiopian cheeseHome made Weights: 50 gm...
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3593,"ETB94.00
         			  		            		            Ex Tax: ETB82.00",100% Organic Fenugreek Powderprepared by :Emeshaw Birke ..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3578,"ETB128.00
         			  		            		            Ex Tax: ETB112.00","Emshaw_ Mixed Tea Spice100% organic spiceTea spice is mixture of cinnamon sticks, cloves
and Hell- .."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3592,"ETB67.00
         			  		            		            Ex Tax: ETB59.00","100% Pure Onion PowderUsed To season Foods like
Eggs, Pizzas, Pastas, Drilled Chicken Any Many More.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4578,"ETB21.00
         			  		            		            Ex Tax: ETB19.00",Estifanos_ Herbal Ginger tea(50gm)Traditional herbal medicinePleasantly spicy and warming tast..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4317,"ETB128.00
         			  		            		            Ex Tax: ETB112.00",Etetu- Homemade CookiesIt contains flour sugar egg and oilGood for children’s snackCrunchy and sweet..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5600,"ETB354.00
         			  		            		            Ex Tax: ETB308.00","The taste is perfect.It's designed to be soft, sweet chewing.Made of beef, natural sweetness The pro.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5470,"ETB71.00
         			  		            		            Ex Tax: ETB62.00","Lemon TeaIt prevents bacterial infections, protects heart health
& heart walls because it conta.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5471,"ETB71.00
         			  		            		            Ex Tax: ETB62.00","Mint Tea﻿If we have a digestive problem, it corrects, prevents
respiratory or cough disease, helps .."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5469,"ETB71.00
         			  		            		            Ex Tax: ETB62.00","Moringa Tea﻿Bacteria, viruses, and fungal infections protect against
infectious diseases.

It pro.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4714,"ETB71.00
         			  		            		            Ex Tax: ETB62.00","Fre: Black
Pepper Powder You can use it
by itself or as part of mekeleshaContains a
number of phy.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5728,"ETB20.00
         			  		            		            Ex Tax: ETB20.00","Fresh Avocado 1kgIt is naturalRich in vitamins C, K, E, Potassium, Folate and Dietary FiberUsed in b.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4712,"ETB100.00
         			  		            		            Ex Tax: ETB87.00","Fre_ Spice
Blend 50g (Mekelesha)A special blend
of 7 spices Used to give
the extra finishing flav.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4895,"ETB121.00
         			  		            		            Ex Tax: ETB105.00",Genet _home made Rosemary  powder 100% organic homemade weight:150gsupplier: Gen..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5174,"ETB54.00
         			  		            		            Ex Tax: ETB47.00","Genet_ Black Cardamom (50g)
 The seed
     is dried and subsequently powdered
 One-of-a-kind
   .."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5176,"ETB54.00
         			  		            		            Ex Tax: ETB47.00","Genet_ Black Pepper (50g)
 Homemade
 Enhances
     the taste of the food
 Livens up
     salads.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5177,"ETB54.00
         			  		            		            Ex Tax: ETB47.00","Genet_ Butter Seasoning
Spice
 A mixture
     of blended spices
 This
     aromatic blend of wh.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5175,"ETB54.00
         			  		            		            Ex Tax: ETB47.00",Genet_ Cumin (50g) Well prepared Organic Cumin No Artificial Flavors No preservatives..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5172,"ETB54.00
         			  		            		            Ex Tax: ETB47.00","Genet_Spice Blend 50g (Mekelesha)
 A special
     blend of 7 spices
 Used to
     give the extra.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5317,"ETB50.00
         			  		            		            Ex Tax: ETB44.00",Gezehagne Kibe Kimem 25g (butter spice)100% ORGANICGezehagne Kibe Kimem is a special blend of mixed ..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=928,"ETB43.00
         			  		            		            Ex Tax: ETB38.00","Packed
  Ginger (50g).."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3442,"ETB34.00
         			  		            		            Ex Tax: ETB30.00","Ginger powderAiso uses a Spices for Tea ,spices, Cooking food ,and more usesProcessed By  Emsha.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4998,"ETB283.00
         			  		            		            Ex Tax: ETB247.00",Girmaye_ Forest Honey (red)Gluten-free Aromatic with a slightly bitter aftertasteContains higher pol..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4994,"ETB283.00
         			  		            		            Ex Tax: ETB247.00",Girmaye_ Forest Honey (White)Gluten-free Aromatic with a slightly bitter aftertasteContains higher p..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2050,"ETB246.00
         			  		            		            Ex Tax: ETB214.00","Habesha:
the
authentic, golden beer.
Founded and owned by thousands of proud Ethiopians.Habesha
.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5138,"ETB778.00
         			  		            		            Ex Tax: ETB677.00","Haddisalem Coffee Powder 
 Good quality, Loved by many
 Premium Arabica handmade well
     prepar.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5136,"ETB778.00
         			  		            		            Ex Tax: ETB677.00","Haddisalem medium Roast
Coffee Bean Good quality, Loved by
manyPremium Arabica handmade
well prep.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4929,"ETB837.00
         			  		            		            Ex Tax: ETB728.00","Hadero Roasted Coffee (1kg)

Hadero provides 100% Arabica. Our offerings are premium
value-.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4926,"ETB222.00
         			  		            		            Ex Tax: ETB194.00","Hadero Roasted Coffee (250gm)Hadero provides 100% Arabica. Our offerings are premium value-added
co.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4930,"ETB431.00
         			  		            		            Ex Tax: ETB375.00",Hadero Roasted Coffee (500g) Hadero provides 100% Arabica. Our offerings are premium value-adde..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2009,"ETB50.00
         			  		            		            Ex Tax: ETB50.00",Best Qualified and Well Prepared Bread Spice.Plastic Bottled Size- 50 gPrepared by Haset Spices..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2013,"ETB64.00
         			  		            		            Ex Tax: ETB56.00","Haset_ Organic Fines
Herbs- A classic
bouquet of uncomplicated but very flavorful fresh tender her.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2011,"ETB34.00
         			  		            		            Ex Tax: ETB30.00","Haset_ Organic Ground Cardamom 25g This Organic Ground Cardamom has a sweet taste
& entici.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2008,"ETB64.00
         			  		            		            Ex Tax: ETB56.00","Pure Ground Black Pepper Flavor Sealed for
freshness.  Premium quality for superior fla.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2217,"ETB47.00
         			  		            		            Ex Tax: ETB41.00","Hasset 100% pure Mustard Powder Mustard Powder is a combination of brown and
white seeds mixed.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3077,"ETB75.00
         			  		            		            Ex Tax: ETB65.00","Hasset -Roasted barley powderWight-0.5



Processed By : Hasset T/Michaiel.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3981,"ETB29.00
         			  		            		            Ex Tax: ETB25.00",Hasset ­ Bread spice Enhances the taste of the Bread.Prepared by Hasset  T/Michaielweight- 25g..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3983,"ETB57.00
         			  		            		            Ex Tax: ETB50.00",Hasset Organic ­ white spice (50g)100% organicEnhances the taste of the food.weight- 50gPrepared by:..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3982,"ETB29.00
         			  		            		            Ex Tax: ETB26.00",Hasset Organic ­ white spice100% organicEnhances the taste of the food.weight- 25gPrepared by: Hasse..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2906,"ETB36.00
         			  		            		            Ex Tax: ETB32.00",Hasset Pure Cinnamon Powder25gPrepared by hasset..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2125,"ETB64.00
         			  		            		            Ex Tax: ETB56.00",Hasset -100 % pure Organic Ginger Powder -100% natural-Ginger Powder is made from the dried and..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3986,"ETB36.00
         			  		            		            Ex Tax: ETB32.00","Hasset
_Organic Garlic Powder (25)It is 100% naturalHome madeGarlic Powder is carefully chosen to g.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2675,"ETB64.00
         			  		            		            Ex Tax: ETB56.00",Hasset _Pure Commun wight 50gPrepared by Hasset T/Michaiel..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2242,"ETB36.00
         			  		            		            Ex Tax: ETB32.00",Well Prepared  Butter SpicesSize- 25g Prepared By Hasset Spices..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2245,"ETB36.00
         			  		            		            Ex Tax: ETB32.00","Pure Ground Black Pepper Flavor Sealed for
freshness  Premium quality for s.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2246,"ETB64.00
         			  		            		            Ex Tax: ETB56.00",Organic onion soup mix Size- 50gPrepared  By Hasset Spices..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2243,"ETB27.00
         			  		            		            Ex Tax: ETB24.00",Well prepared Organic Cumin No Artificial Flavors No preservatives Perfect for ..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2841,"ETB57.00
         			  		            		            Ex Tax: ETB50.00","Hasset organic
curry powderNatural flavor
homemade curry powderBenefits of
curry spices -con.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2996,"ETB335.00
         			  		            		            Ex Tax: ETB292.00","Naturally Healthy 100% pure white Honey     - Naturally smoothly
crystallized g.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3588,"ETB41.00
         			  		            		            Ex Tax: ETB36.00","Hiwot_Organic Salad
SpiceHome made Made without
saltSeasonal any
kind of salad








.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5325,"ETB109.00
         			  		            		            Ex Tax: ETB109.00","Homemade Crunchy Cookie-Sweet and crunchy, homemade ,It contains flour &sugar, and oil good for .."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3519,"ETB80.00
         			  		            		            Ex Tax: ETB70.00",A flavored traditional alcoholic drink (250).Great with coffees and tea.Enjoy the pure cinnamo..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4795,"ETB3.00
         			  		            		            Ex Tax: ETB3.00","Knorr Blended spice (1.5g)


 It
     contains locally sourced ingredients
       &nb.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4818,"ETB3,888.00
         			  		            		            Ex Tax: ETB3,381.00",Knorr Blended spice pack(1440 pieces)It contains locally sourced ingredients    &nbsp..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5641,"ETB73.00
         			  		            		            Ex Tax: ETB64.00",Knorr Mitten ShiroItem weight 200gSupplier: Al Beritlom Trading PLC ..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2135,"ETB555.00 ETB637.00
Ex Tax: ETB483.00",KT_Grindid  Ethiopian Coffee Premium Arabica hand Made well Prepared and satisfaction Guar..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5009,"ETB57.00
         			  		            		            Ex Tax: ETB50.00",Lielt_ Black Cardamom(50g)The seed is dried and subsequently powdered One-of-a-kind savories to meat..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5011,"ETB71.00
         			  		            		            Ex Tax: ETB62.00","Lielt_ Black Cumin Spice(50g)100% organic spiceHomemadeHigh-quality grounded black cumin
powde.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5013,"ETB85.00
         			  		            		            Ex Tax: ETB74.00","Lielt_ Black Pepper HomemadeEnhances the taste of the food Livens up salads, vegetables, pasta, or r.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5010,"ETB71.00
         			  		            		            Ex Tax: ETB62.00",Lielt_ Butter Seasoning Spice A mixture of blended spices This aromatic blend of wholesome spice and..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=5008,"ETB85.00
         			  		            		            Ex Tax: ETB74.00","Lielt_Spice Blend 60g
(Mekelesha)
 
 
 
 
 A special
     blend of 7 spicesUsed to
     give.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=4868,"ETB180.00
         			  		            		            Ex Tax: ETB180.00","Mahider_ Homemade
Cookies (0.45kg)It contains flour sugar
egg and oilGood for children’s snackCrun.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3551,"ETB50.00
         			  		            		            Ex Tax: ETB44.00","Malalia organic moringa powder  Moringa leaf is
nutritional and rich in minerals, proteins and.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2201,"ETB128.00
         			  		            		            Ex Tax: ETB111.00",Markal pure Fenugreek powder it is 100% natural and Pureit is bittersweet in testeBest used as ..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=2244,"ETB21.00
         			  		            		            Ex Tax: ETB18.00","This organic Coriander Is useful for burger preparation, bread, and more Used on all type.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=1798,"ETB31.00
         			  		            		            Ex Tax: ETB31.00","Markal cumin Spices is a division of Pure And Natural Spices, where we pack a Large selection of Spi.."
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3668,"ETB1,665.00
         			  		            		            Ex Tax: ETB1,448.00",Masha _100% pure red honeyNatural and organic100% organicNaturally healthy 100% pure honey from Mash..
https://helloomarket.com/index.php?route=product/product&path=82&product_id=3669,"ETB1,110.00
         			  		            		            Ex Tax: ETB966.00",Masha natural pure red honey (2kg)100% organicNaturally healthy 100% pure honey from Masha Delicate ..
