title,price,description,location,link
Blanket ብርድልብስ,3600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/decor-accessories/blanket-beredelebese-f76ZTOjMOyXcI0BCNlURfndD.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=0
Louis Vuitton,3200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/louis-vuitton-1CQZMoHDaV2BtS6Y7pMdAXYo.html?page=1&pos=5&cur_pos=5&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=4
Coconut Oil,700,Contact us for more i for more information,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/coconut-oil-iAbdrrv4yKQvzvX9hpMDRe4k.html?page=1&pos=9&cur_pos=9&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=8
Air Jordan Four,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/air-jordan-four-5YDPYEcGMqCW75gQMNBWK8Vd.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=12
Louis Vuitton,3200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/louis-vuitton-xCllyvZF1BvsBsq7Fgs79aPE.html?page=1&pos=17&cur_pos=17&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=16
Nike Tiempo,2600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/nike-tiempo-tI8gBaSw5ZlTwdseQ674QZki.html?page=2&pos=4&cur_pos=4&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=3
Allstar Converse,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-1DBu2ZtXcO7GI58h1BSqKV1y.html?page=2&pos=8&cur_pos=8&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=7
New Star BOOC,2150,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/new-star-booc-hUpz1AhBIzUqSW5LFNUsqFGt.html?page=2&pos=12&cur_pos=12&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=11
Eco Forest Castor Oil,850,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/eco-forest-castor-oil-69yC6XrfsBem1AfcRoam2VBs.html?page=1&pos=2&cur_pos=2&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=1
Kemei Tondos,1200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/kemei-tondos-xFgbhKIeMjpbGQntH6h5PVLs.html?page=1&pos=6&cur_pos=6&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=5
Alexander Mcqueen,2500,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/alexander-mcqueen-fkUg2XRRjeYa80ClER7sRRpT.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=9
Allstar Converse,2800,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-aRQHkVMSPhH8HYNaKQfvjwbd.html?page=1&pos=14&cur_pos=14&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=13
Skechers for You,2300,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/skechers-for-you-uzTvSrn522SoDPGsI7jiA4CP.html?page=1&pos=18&cur_pos=18&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=17
Skechers Shoe,2300,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/skechers-shoe-icWqYRqNrZzDhDAClWvBNywh.html?page=2&pos=1&cur_pos=1&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=0
Allstar Converse,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-BRUoVRqUc6sqQHbVZJkJYwx9.html?page=2&pos=5&cur_pos=5&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=4
Luois Vuitton Air,3400,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/luois-vuitton-air-pN4POudR5934gcXqllFp22o6.html?page=2&pos=9&cur_pos=9&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=8
No title,0,No description,No location,https://jiji.com.etNo link
Blanket ብርድ ልብስ,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/decor-accessories/blanket-berede-lebese-wizxJ41uFiNRARj6ruOZVmpS.html?page=1&pos=3&cur_pos=3&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=2
Balenciaga Speed Racer,2600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/balenciaga-speed-racer-zG2jrkfS9F2TmVNzoAP3joS.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=6
Alexander McQueen,2500,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/alexander-mcqueen-oOVby5A5gDLXJFMmxx2Gckkr.html?page=1&pos=11&cur_pos=11&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=10
Nike Airforce,1800,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/nike-airforce-lkf0RtBdUdUdkPWqUpYokt1q.html?page=1&pos=15&cur_pos=15&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=14
Allstar Converse,2600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-yWSKNtMPwvYgZvbEAmo0pyWu.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=18
Skechers Shoe,2600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/skechers-shoe-8pXlisXq2WRqB4N6jX9QtKnD.html?page=2&pos=3&cur_pos=3&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=2
Adidas Adiprene,2500,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/adidas-adiprene-8xed13ZHYOQZNHGZg6q0G8j7.html?page=2&pos=7&cur_pos=7&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=6
Allstar Converse,2500,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-CjkqcQaKVhMkbiRneQHopNAm.html?page=2&pos=11&cur_pos=11&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=10
Turkey Fashion Bed Sheet Packaging,3500,1 Duvet cover 1 Bedsheet 2 Curtains 4 Pillowcases,"Addis Ababa, Gullele",https://jiji.com.et/gullele/decor-accessories/turkey-fashion-bed-sheet-packaging-f0POGepm47eUOmefHzorDGN0.html?page=1&pos=4&cur_pos=4&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=3
ACG Shoe for You,3100,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/acg-shoe-for-you-htv90VZFWTTnkH5YP4sBBXEP.html?page=1&pos=8&cur_pos=8&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=7
New Balance 998,2100,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/new-balance-998-rmlgcTOtrGWDiEmppJtnJjSc.html?page=1&pos=12&cur_pos=12&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=11
Child Boots,2000,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/childrens-shoes/child-boots-86NGSbSgD5ZMyjyBa3Qv9CsT.html?page=1&pos=16&cur_pos=16&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=15
Nike Fashion,2300,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/nike-fashion-65cE5cSxGm633OnsYSMYmWIv.html?page=1&pos=20&cur_pos=20&ads_per_page=20&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=19
Skechers Shoe,2000,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/skechers-shoe-a3gEut5tLUzYZSdDJW2EOTz0.html?page=2&pos=2&cur_pos=2&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=1
Allstar Converse,3000,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-2HcpNGKphI1uPxiPrPxCFulN.html?page=2&pos=6&cur_pos=6&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=5
Smart 28 Perfume ሽቶ,450,Contact us to buy the Fragnance ሽቶዉን ከፈለጉ ያግኙን,"Addis Ababa, Gullele",https://jiji.com.et/gullele/fragrance/smart-28-perfume-sheto-mzWn3XuwkxmMkxazznWEcGYH.html?page=2&pos=10&cur_pos=10&ads_per_page=12&ads_count=32&lid=G1vmHBg41o5_DDua&indexPosition=9
Blanket ብርድልብስ,3600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/decor-accessories/blanket-beredelebese-f76ZTOjMOyXcI0BCNlURfndD.html?page=1&pos=1&cur_pos=1&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=0
Louis Vuitton,3200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/louis-vuitton-1CQZMoHDaV2BtS6Y7pMdAXYo.html?page=1&pos=5&cur_pos=5&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=4
Coconut Oil,700,Contact us for more i for more information,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/coconut-oil-iAbdrrv4yKQvzvX9hpMDRe4k.html?page=1&pos=9&cur_pos=9&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=8
Air Jordan Four,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/air-jordan-four-5YDPYEcGMqCW75gQMNBWK8Vd.html?page=1&pos=13&cur_pos=13&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=12
Louis Vuitton,3200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/louis-vuitton-xCllyvZF1BvsBsq7Fgs79aPE.html?page=1&pos=17&cur_pos=17&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=16
Skechers Shoe,2000,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/skechers-shoe-a3gEut5tLUzYZSdDJW2EOTz0.html?page=2&pos=4&cur_pos=4&ads_per_page=12&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=3
Allstar Converse,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-1DBu2ZtXcO7GI58h1BSqKV1y.html?page=2&pos=8&cur_pos=8&ads_per_page=12&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=7
New Star BOOC,2150,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/new-star-booc-hUpz1AhBIzUqSW5LFNUsqFGt.html?page=2&pos=12&cur_pos=12&ads_per_page=12&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=11
Eco Forest Castor Oil,850,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/eco-forest-castor-oil-69yC6XrfsBem1AfcRoam2VBs.html?page=1&pos=2&cur_pos=2&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=1
Kemei Tondos,1200,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/hair-beauty/kemei-tondos-xFgbhKIeMjpbGQntH6h5PVLs.html?page=1&pos=6&cur_pos=6&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=5
Alexander Mcqueen,2500,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/alexander-mcqueen-fkUg2XRRjeYa80ClER7sRRpT.html?page=1&pos=10&cur_pos=10&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=9
Allstar Converse,2800,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-aRQHkVMSPhH8HYNaKQfvjwbd.html?page=1&pos=14&cur_pos=14&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=13
Skechers for You,2300,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/skechers-for-you-uzTvSrn522SoDPGsI7jiA4CP.html?page=1&pos=18&cur_pos=18&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=17
Skechers Shoe,2300,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/skechers-shoe-icWqYRqNrZzDhDAClWvBNywh.html?page=2&pos=1&cur_pos=1&ads_per_page=12&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=0
Allstar Converse,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-BRUoVRqUc6sqQHbVZJkJYwx9.html?page=2&pos=5&cur_pos=5&ads_per_page=12&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=4
Luois Vuitton Air,3400,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/luois-vuitton-air-pN4POudR5934gcXqllFp22o6.html?page=2&pos=9&cur_pos=9&ads_per_page=12&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=8
Blanket ብርድ ልብስ,2700,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/decor-accessories/blanket-berede-lebese-wizxJ41uFiNRARj6ruOZVmpS.html?page=1&pos=3&cur_pos=3&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=2
Balenciaga Speed Racer,2600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/balenciaga-speed-racer-zG2jrkfS9F2TmVNzoAP3joS.html?page=1&pos=7&cur_pos=7&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=6
New Balance 998,2100,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/new-balance-998-rmlgcTOtrGWDiEmppJtnJjSc.html?page=1&pos=11&cur_pos=11&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=10
Nike Airforce,1800,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/nike-airforce-lkf0RtBdUdUdkPWqUpYokt1q.html?page=1&pos=15&cur_pos=15&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=14
Allstar Converse,2600,Let you have our materials with fair price. እቃዎቻችንን በተመጣጣኝ ዋጋ As a GIFT for all yours ለሚወዷቸው...,"Addis Ababa, Gullele",https://jiji.com.et/gullele/shoes/allstar-converse-yWSKNtMPwvYgZvbEAmo0pyWu.html?page=1&pos=19&cur_pos=19&ads_per_page=20&ads_count=32&lid=sa9JGHNmgYTC21UM&indexPosition=18
